"","isl_pkc","ship_pkc","isl_exp","ship_exp","isl_blc","ship_blc","both_pkc","both_exp","both_blc","choice","expert"
"670",2,1.5,5,5,1,1,1.75,5,1,"2","1"
"671",1,1,9,9,1,1,1,9,1,"2","1"
"672",1,1,9,9,1,1,1,9,1,"2","1"
"673",5,7,6,2,2,2,6,4,2,"2","1"
"674",2,5,8,8,2,2,3.5,8,2,"2","1"
"675",3.5,4.5,3,4,2.5,1.5,4,3.5,2,"2","1"
"676",2.5,2,9,7,2,2,2.25,8,2,"2","1"
"677",1,1,9,4,1,1,1,6.5,1,"2","1"
"678",6,NA,5,NA,4.5,NA,NA,NA,NA,"2","1"
"679",1,NA,9,NA,1,NA,NA,NA,NA,"2","1"
"680",3.5,NA,4,NA,2,NA,NA,NA,NA,"2","1"
"681",6,NA,5,NA,7.5,NA,NA,NA,NA,"2","1"
"682",2.5,NA,9,NA,1,NA,NA,NA,NA,"2","1"
"683",6.5,NA,6,NA,6,NA,NA,NA,NA,"2","1"
"684",4,NA,7,NA,5,NA,NA,NA,NA,"2","1"
"685",7.5,NA,8,NA,7,NA,NA,NA,NA,"2","1"
"686",1.5,NA,7,NA,2,NA,NA,NA,NA,"2","1"
"687",1.5,NA,7,NA,1,NA,NA,NA,NA,"2","1"
"688",2,NA,8,NA,1,NA,NA,NA,NA,"2","1"
"689",4,NA,7,NA,2.5,NA,NA,NA,NA,"2","1"
"690",4.5,NA,8,NA,3,NA,NA,NA,NA,"2","1"
"691",1,NA,9,NA,1,NA,NA,NA,NA,"2","1"
"692",9,NA,5,NA,8,NA,NA,NA,NA,"2","1"
"693",1,NA,9,NA,1,NA,NA,NA,NA,"2","1"
"694",1,NA,8,NA,2,NA,NA,NA,NA,"2","1"
"695",1,NA,9,NA,1,NA,NA,NA,NA,"2","1"
"696",1,NA,9,NA,1,NA,NA,NA,NA,"2","1"
"697",4.5,NA,6,NA,4,NA,NA,NA,NA,"2","1"
"698",NA,7,NA,6,NA,6,NA,NA,NA,"2","1"
"699",NA,1,NA,9,NA,1,NA,NA,NA,"2","1"
"700",NA,3,NA,3,NA,1,NA,NA,NA,"2","1"
"701",NA,2.5,NA,5,NA,2,NA,NA,NA,"2","1"
"702",NA,5.5,NA,1,NA,6.5,NA,NA,NA,"2","1"
"703",NA,8,NA,2,NA,5.5,NA,NA,NA,"2","1"
"704",NA,5.5,NA,5,NA,4,NA,NA,NA,"2","1"
"705",NA,4.5,NA,1,NA,1,NA,NA,NA,"2","1"
"706",NA,5,NA,6,NA,2.5,NA,NA,NA,"2","1"
"707",NA,1,NA,9,NA,1,NA,NA,NA,"2","1"
"708",NA,3.5,NA,5,NA,4,NA,NA,NA,"2","1"
"709",NA,4.5,NA,5,NA,3.5,NA,NA,NA,"2","1"
"710",NA,1,NA,9,NA,1,NA,NA,NA,"2","1"
"711",NA,1,NA,5,NA,1,NA,NA,NA,"2","1"
"712",NA,1,NA,9,NA,1,NA,NA,NA,"2","1"
"713",NA,2,NA,6,NA,1,NA,NA,NA,"2","1"
"714",NA,6.5,NA,7,NA,4.5,NA,NA,NA,"2","1"
"715",NA,3,NA,7,NA,2,NA,NA,NA,"2","1"
"716",NA,2.5,NA,8,NA,2,NA,NA,NA,"2","1"
"717",NA,5.5,NA,8,NA,4,NA,NA,NA,"2","1"
"718",NA,3.5,NA,5,NA,3,NA,NA,NA,"2","1"
"719",NA,2.5,NA,6,NA,2,NA,NA,NA,"2","1"
"720",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"721",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"722",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"723",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"724",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"725",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"726",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"727",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"728",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"729",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"730",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"731",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"732",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"733",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"734",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"735",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"736",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"737",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"738",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"739",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"740",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"741",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"742",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"743",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"744",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"745",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"746",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"747",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"748",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"749",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"750",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"751",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"752",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"753",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"754",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"755",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1"
"756",5,5,4,8,2.5,2.5,5,6,2.5,"2","2"
"757",4,4,6,3,1.5,1.5,4,4.5,1.5,"2","2"
"758",1,1,7,8,1,1,1,7.5,1,"2","2"
"759",4,2,6,4,4,3.5,3,5,3.75,"2","2"
"760",1,1,8,8,1,1,1,8,1,"2","2"
"761",1,1,9,9,1,1,1,9,1,"2","2"
"762",1,1,9,9,1,1,1,9,1,"2","2"
"763",2,2,5,5,2,2,2,5,2,"2","2"
"764",2,3,7,7,2.5,3,2.5,7,2.75,"2","2"
"765",1.5,1.5,6,7,1,1,1.5,6.5,1,"2","2"
"766",2,1,6,9,1.5,1.5,1.5,7.5,1.5,"2","2"
"767",2,1,8,9,2.5,1,1.5,8.5,1.75,"2","2"
"768",1,1,9,8,1,2,1,8.5,1.5,"2","2"
"769",3,3,9,9,1,1,3,9,1,"2","2"
"770",7.5,8.5,9,8,4.5,4,8,8.5,4.25,"2","2"
"771",2.5,2,6,6,3,2,2.25,6,2.5,"2","2"
"772",1,1,9,9,1,1,1,9,1,"2","2"
"773",2,6.5,8,7,1.5,2,4.25,7.5,1.75,"2","2"
"774",3,4.5,3,2,2.5,2,3.75,2.5,2.25,"2","2"
"775",2,1.5,9,9,2,2,1.75,9,2,"2","2"
"776",1,1.5,8,8,1,1,1.25,8,1,"2","2"
"777",1,1,9,9,1,1,1,9,1,"2","2"
"778",2,2,8,6,1.5,2,2,7,1.75,"2","2"
"779",1.5,1.5,8,8,1,1,1.5,8,1,"2","2"
"780",1,1,8,8,1,1,1,8,1,"2","2"
"781",1,1,5,6,1,1,1,5.5,1,"2","2"
"782",1,1,9,9,2,2,1,9,2,"2","2"
"783",1,1.5,9,9,1,1.5,1.25,9,1.25,"2","2"
"784",1.5,1,5,9,2,1,1.25,7,1.5,"2","2"
"785",1,1,6,6,1,1,1,6,1,"2","2"
"786",1,1,9,9,1,1,1,9,1,"2","2"
"787",2,1,5,8,2,1,1.5,6.5,1.5,"2","2"
"788",1,1,9,9,1,1,1,9,1,"2","2"
"789",4.5,5.5,9,9,1,4.5,5,9,2.75,"2","2"
"790",1,1,7,7,3,3,1,7,3,"2","2"
"791",1,1,9,9,1,1,1,9,1,"2","2"
"792",3.5,3,5,6,1,1,3.25,5.5,1,"2","2"
"793",2,2,8,8,2,2.5,2,8,2.25,"2","2"
"794",2.5,2.5,5,5,2.5,2.5,2.5,5,2.5,"2","2"
"795",1,1,9,9,1,1,1,9,1,"2","2"
"796",6,1.5,5,6,4,1.5,3.75,5.5,2.75,"2","2"
"797",1,1,8,8,1,1,1,8,1,"2","2"
"798",1,1,7,7,1,1,1,7,1,"2","2"
"799",1,1,9,9,1,1,1,9,1,"2","2"
"800",3.5,4.5,6,7,4,6.5,4,6.5,5.25,"2","2"
"801",1.5,3,6,5,1,1,2.25,5.5,1,"2","2"
"802",6,5.5,6,8,7,3,5.75,7,5,"2","2"
"803",1,1,3,3,3.5,2,1,3,2.75,"2","2"
"804",5.5,5,7,7,2.5,2,5.25,7,2.25,"2","2"
"805",7.5,3.5,5,9,4,3.5,5.5,7,3.75,"2","2"
"806",2.5,2.5,8,8,2,2,2.5,8,2,"2","2"
"807",3,3,7,7,4.5,2.5,3,7,3.5,"2","2"
"808",1,3.5,9,5,1,2,2.25,7,1.5,"2","2"
"809",1,1,9,9,1,1,1,9,1,"2","2"
"810",2,2,7,7,2,2,2,7,2,"2","2"
"811",2,1.5,7,8,2,2,1.75,7.5,2,"2","2"
"812",4,4,3,3,1.5,2,4,3,1.75,"2","2"
"813",2,4,5,4,1.5,4,3,4.5,2.75,"2","2"
"814",6,2.5,4,6,5,4,4.25,5,4.5,"2","2"
"815",1,1,9,9,1,1,1,9,1,"2","2"
"816",4,4.5,6,6,3,3,4.25,6,3,"2","2"
"817",1,1,4,4,1,1,1,4,1,"2","2"
"818",1,1,5,5,1,1,1,5,1,"2","2"
"819",2,1,3,3,1.5,1,1.5,3,1.25,"2","2"
"820",6,3,5,6,4,5,4.5,5.5,4.5,"2","2"
"821",6,6,7,7,4,3.5,6,7,3.75,"2","2"
"822",2,1.5,8,9,1,1,1.75,8.5,1,"2","2"
"823",4,3,8,8,5,5,3.5,8,5,"2","2"
"824",1,1,9,9,1,1,1,9,1,"2","2"
"825",1.5,1,8,9,1,1,1.25,8.5,1,"2","2"
"826",6,3.5,8,8,2,3,4.75,8,2.5,"2","2"
"827",1,1.5,5,3,1,2.5,1.25,4,1.75,"2","2"
"828",1,1.5,5,8,1,1.5,1.25,6.5,1.25,"2","2"
"829",6,4,5,7,2.5,2,5,6,2.25,"2","2"
"830",1,5,9,5,1,3,3,7,2,"2","2"
"831",4,3.5,7,8,2,3,3.75,7.5,2.5,"2","2"
"832",4,4,8,7,2,2,4,7.5,2,"2","2"
"833",5,4,8,9,2.5,1,4.5,8.5,1.75,"2","2"
"834",1.5,2,8,8,2,1.5,1.75,8,1.75,"2","2"
"835",3,3,5,5,4,4,3,5,4,"2","2"
"836",1,1.5,9,9,1,1,1.25,9,1,"2","2"
"837",1,1,9,9,1,1,1,9,1,"2","2"
"838",2,3.5,8,9,2,2,2.75,8.5,2,"2","2"
"839",1.5,1,8,8,1.5,1,1.25,8,1.25,"2","2"
"840",1,1,9,9,1,1,1,9,1,"2","2"
"841",2,2,8,8,2,2,2,8,2,"2","2"
"842",1,3,9,9,1,2,2,9,1.5,"2","2"
"843",5,1,9,9,1,1,3,9,1,"2","2"
"844",1.5,2,5,5,2,2,1.75,5,2,"2","2"
"845",1,1,9,9,1,1,1,9,1,"2","2"
"846",2.5,1.5,8,9,2.5,2,2,8.5,2.25,"2","2"
"847",5.5,5,7,7,3,3.5,5.25,7,3.25,"2","2"
"848",1,1,9,9,1,1,1,9,1,"2","2"
"849",3.5,3.5,5,5,1,1,3.5,5,1,"2","2"
"850",1,1,5,5,1,1,1,5,1,"2","2"
"851",1,1,9,9,1,1,1,9,1,"2","2"
"852",1,1,9,9,1,1,1,9,1,"2","2"
"853",1,1,9,9,2,2,1,9,2,"2","2"
"854",7.5,5,5,5,5.5,3,6.25,5,4.25,"2","2"
"855",1,1.5,2,1,1,1,1.25,1.5,1,"2","2"
"856",1,1,8,8,1,1,1,8,1,"2","2"
"857",1.5,1.5,1,1,1,1,1.5,1,1,"2","2"
"858",1,1,6,5,1,1,1,5.5,1,"2","2"
"859",4,2,6,7,2,2,3,6.5,2,"2","2"
"860",2,3,8,8,2,2,2.5,8,2,"2","2"
"861",2,2.5,5,5,1,1,2.25,5,1,"2","2"
"862",2,2,8,5,1,1.5,2,6.5,1.25,"2","2"
"863",3.5,3.5,5,6,3.5,4.5,3.5,5.5,4,"2","2"
"864",4,1,6,9,4,1,2.5,7.5,2.5,"2","2"
"865",1,1,8,8,1,1,1,8,1,"2","2"
"866",1,8.5,9,5,1,4,4.75,7,2.5,"2","2"
"867",1,1,9,9,1,1,1,9,1,"2","2"
"868",3,3,8,8,1,1,3,8,1,"2","2"
"869",4,3,8,8,2,4.5,3.5,8,3.25,"2","2"
"870",1,1,9,9,1,1,1,9,1,"2","2"
"871",1,1,9,9,1,1,1,9,1,"2","2"
"872",1,1,9,9,1,1,1,9,1,"2","2"
"873",1,1,9,9,1,1,1,9,1,"2","2"
"874",1,1.5,8,8,1,1,1.25,8,1,"2","2"
"875",1,1,9,9,1,1,1,9,1,"2","2"
"876",1,1.5,6,6,1,1,1.25,6,1,"2","2"
"877",1,1,9,9,1,1,1,9,1,"2","2"
"878",1,1,9,9,1,1,1,9,1,"2","2"
"879",4,2,8,9,2.5,1,3,8.5,1.75,"2","2"
"880",1,1,7,9,1,1,1,8,1,"2","2"
"881",1,1,5,8,1,1,1,6.5,1,"2","2"
"882",1,4,9,8,1,1.5,2.5,8.5,1.25,"2","2"
"883",3,3,7,8,2.5,3.5,3,7.5,3,"2","2"
"884",1,1,9,9,1,1,1,9,1,"2","2"
"885",1,1,9,9,1,1,1,9,1,"2","2"
"886",5,6.5,5,1,1,5,5.75,3,3,"2","2"
"887",2.5,2.5,8,8,1,2,2.5,8,1.5,"2","2"
"888",1.5,1.5,7,8,2,2,1.5,7.5,2,"2","2"
"889",2,2.5,6,6,1,1,2.25,6,1,"2","2"
"890",1.5,5,8,7,1,3,3.25,7.5,2,"2","2"
"891",1,1,9,9,1,1,1,9,1,"2","2"
"892",1,1,9,9,1,1,1,9,1,"2","2"
"893",2,1.5,9,9,2,1.5,1.75,9,1.75,"2","2"
"894",1.5,2.5,9,8,1,3,2,8.5,2,"2","2"
"895",1,1,9,9,1,1,1,9,1,"2","2"
"896",1,1,8,7,1,1.5,1,7.5,1.25,"2","2"
"897",1,1,9,9,1,1,1,9,1,"2","2"
"898",3.5,1.5,7,8,4,3,2.5,7.5,3.5,"2","2"
"899",2,3.5,5,5,1.5,2,2.75,5,1.75,"2","2"
"900",3,1.5,9,9,1,1,2.25,9,1,"2","2"
"901",2,3,9,9,1,1.5,2.5,9,1.25,"2","2"
"902",2,2,7,7,1,1,2,7,1,"2","2"
"903",1,1,5,7,1,1,1,6,1,"2","2"
"904",2,1.5,8,8,1,1,1.75,8,1,"2","2"
"905",2.5,1.5,7,8,1.5,1.5,2,7.5,1.5,"2","2"
"906",1,4.5,9,6,1,4,2.75,7.5,2.5,"2","2"
"907",5,3.5,3,6,3.5,2,4.25,4.5,2.75,"2","2"
"908",6.5,1,9,9,1,1,3.75,9,1,"2","2"
"909",3,3,9,9,1,1,3,9,1,"2","2"
"910",2.5,1.5,9,6,1,1.5,2,7.5,1.25,"2","2"
"911",1,1,9,9,1.5,2,1,9,1.75,"2","2"
"912",1,1,9,9,1,1,1,9,1,"2","2"
"913",2.5,2,8,8,2,1,2.25,8,1.5,"2","2"
"914",2.5,4,8,8,2,1.5,3.25,8,1.75,"2","2"
"915",3,4.5,6,7,2,2,3.75,6.5,2,"2","2"
"916",1,4,9,5,1,2,2.5,7,1.5,"2","2"
"917",4.5,4,6,5,3,5,4.25,5.5,4,"2","2"
"918",4.5,5,5,6,3,4.5,4.75,5.5,3.75,"2","2"
"919",3,5,9,9,1,1,4,9,1,"2","2"
"920",2,1,9,9,3,1,1.5,9,2,"2","2"
"921",1,1,1,1,1,1,1,1,1,"2","2"
"922",1,1,9,9,1,1,1,9,1,"2","2"
"923",7,4.5,5,5,3,3.5,5.75,5,3.25,"2","2"
"924",1,1,9,9,1,1,1,9,1,"2","2"
"925",1.5,2.5,9,8,2.5,3.5,2,8.5,3,"2","2"
"926",1,1,9,9,1,1,1,9,1,"2","2"
"927",1,1,8,9,1,1,1,8.5,1,"2","2"
"928",2,1.5,9,9,1,1,1.75,9,1,"2","2"
"929",1,1,9,9,1,1,1,9,1,"2","2"
"930",1,1,9,9,1,1,1,9,1,"2","2"
"931",1,2,9,8,1,1.5,1.5,8.5,1.25,"2","2"
"932",1,1,5,5,2,2,1,5,2,"2","2"
"933",4,1,9,9,1,1,2.5,9,1,"2","2"
"934",1,1.5,8,7,1,1,1.25,7.5,1,"2","2"
"935",2,1,7,9,1.5,1,1.5,8,1.25,"2","2"
"936",3.5,5,4,6,3,3,4.25,5,3,"2","2"
"937",3.5,2,7,9,2,1,2.75,8,1.5,"2","2"
"938",2.5,1.5,7,9,1,1,2,8,1,"2","2"
"939",2.5,2.5,5,5,2.5,2.5,2.5,5,2.5,"2","2"
"940",1.5,1.5,5,7,2,2.5,1.5,6,2.25,"2","2"
"941",2,2.5,8,8,2,2,2.25,8,2,"2","2"
"942",5,3,8,9,1,1,4,8.5,1,"2","2"
"943",1.5,1,9,8,1,1.5,1.25,8.5,1.25,"2","2"
"944",6,NA,8,NA,6,NA,NA,NA,NA,"2","2"
"945",1,NA,9,NA,1,NA,NA,NA,NA,"2","2"
"946",7,NA,5,NA,7,NA,NA,NA,NA,"2","2"
"947",1,NA,9,NA,1,NA,NA,NA,NA,"2","2"
"948",8,NA,7,NA,4.5,NA,NA,NA,NA,"2","2"
"949",1,NA,9,NA,1,NA,NA,NA,NA,"2","2"
"950",2.5,NA,3,NA,2,NA,NA,NA,NA,"2","2"
"951",4,NA,4,NA,4,NA,NA,NA,NA,"2","2"
"952",3,NA,7,NA,1,NA,NA,NA,NA,"2","2"
"953",1,NA,9,NA,1,NA,NA,NA,NA,"2","2"
"954",7,NA,7,NA,4.5,NA,NA,NA,NA,"2","2"
"955",1,NA,9,NA,1,NA,NA,NA,NA,"2","2"
"956",3,NA,6,NA,3.5,NA,NA,NA,NA,"2","2"
"957",3,NA,7,NA,2.5,NA,NA,NA,NA,"2","2"
"958",6.5,NA,3,NA,1.5,NA,NA,NA,NA,"2","2"
"959",3,NA,8,NA,2,NA,NA,NA,NA,"2","2"
"960",2.5,NA,9,NA,2,NA,NA,NA,NA,"2","2"
"961",4.5,NA,5,NA,4,NA,NA,NA,NA,"2","2"
"962",1,NA,5,NA,4.5,NA,NA,NA,NA,"2","2"
"963",NA,1,NA,6,NA,1,NA,NA,NA,"2","2"
"964",NA,5,NA,5,NA,5,NA,NA,NA,"2","2"
"965",NA,1.5,NA,8,NA,1.5,NA,NA,NA,"2","2"
"966",NA,1,NA,9,NA,1,NA,NA,NA,"2","2"
"967",NA,6,NA,4,NA,3.5,NA,NA,NA,"2","2"
"968",NA,1,NA,9,NA,1,NA,NA,NA,"2","2"
"969",NA,1,NA,9,NA,1.5,NA,NA,NA,"2","2"
"970",NA,1,NA,5,NA,2,NA,NA,NA,"2","2"
"971",NA,2.5,NA,9,NA,1,NA,NA,NA,"2","2"
"972",NA,5.5,NA,6,NA,4,NA,NA,NA,"2","2"
"973",NA,1,NA,7,NA,1,NA,NA,NA,"2","2"
"974",NA,1,NA,9,NA,1,NA,NA,NA,"2","2"
"975",NA,1,NA,8,NA,1,NA,NA,NA,"2","2"
"976",NA,5.5,NA,2,NA,5.5,NA,NA,NA,"2","2"
"977",NA,4,NA,5,NA,3,NA,NA,NA,"2","2"
"978",NA,1,NA,9,NA,1,NA,NA,NA,"2","2"
"979",NA,1,NA,7,NA,1,NA,NA,NA,"2","2"
"980",NA,1,NA,9,NA,1,NA,NA,NA,"2","2"
"981",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"982",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"983",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"984",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"985",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"986",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"987",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"988",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"989",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"990",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"991",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"992",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"993",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"994",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"995",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"996",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"997",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"998",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"999",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"1001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"1002",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
"1003",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2"
