,isl_pkc,ship_pkc,isl_exp,ship_exp,isl_blc,ship_blc,both_pkc,both_exp,both_blc,choice,expert,group
149,1,1,8,8,1,1,1,8,1,1,1,Optimal/Expert
150,1.5,5,9,5,1,1,3.25,7,1,1,1,Optimal/Expert
151,2.5,2.5,6,7,2,3,2.5,6.5,2.5,1,1,Optimal/Expert
152,1,1,8,8,1,1,1,8,1,1,1,Optimal/Expert
153,2.5,4,8,7,2.5,3.5,3.25,7.5,3,1,1,Optimal/Expert
154,1.5,1.5,9,9,1,1,1.5,9,1,1,1,Optimal/Expert
155,1.5,1,9,9,1,1,1.25,9,1,1,1,Optimal/Expert
156,1,1,9,5,1,1,1,7,1,1,1,Optimal/Expert
157,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
158,3,4.5,7,6,1,4.5,3.75,6.5,2.75,1,1,Optimal/Expert
159,1.5,1,9,9,1,1,1.25,9,1,1,1,Optimal/Expert
160,1.5,1,9,9,1,1,1.25,9,1,1,1,Optimal/Expert
161,1,2,9,7,1,1,1.5,8,1,1,1,Optimal/Expert
162,3,#NULL!,8,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
163,1,#NULL!,8,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
164,4.5,#NULL!,6,#NULL!,3.5,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
165,4,#NULL!,7,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
166,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
167,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
168,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
169,4.5,#NULL!,6,#NULL!,4,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
170,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
171,1,#NULL!,9,#NULL!,1.5,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
172,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
173,2.5,#NULL!,7,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
174,2.5,#NULL!,6,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
175,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
176,1,#NULL!,8,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
177,2.5,#NULL!,7,#NULL!,2.5,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
178,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
179,1,#NULL!,9,#NULL!,2,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
180,1,#NULL!,5,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
181,8,#NULL!,9,#NULL!,7.5,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
182,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
183,1,#NULL!,7,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
184,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
185,1,#NULL!,5,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
186,#NULL!,5.5,#NULL!,5,#NULL!,5.5,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
187,#NULL!,4.5,#NULL!,7,#NULL!,6,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
188,#NULL!,6,#NULL!,4,#NULL!,5.5,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
189,#NULL!,1.5,#NULL!,8,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
190,#NULL!,1.5,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
191,#NULL!,5.5,#NULL!,7,#NULL!,4,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
192,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
193,#NULL!,2,#NULL!,8,#NULL!,2,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
194,#NULL!,1.5,#NULL!,8,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
195,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
196,#NULL!,9,#NULL!,1,#NULL!,6.5,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
197,#NULL!,2,#NULL!,5,#NULL!,4,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
198,#NULL!,3,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
199,#NULL!,1,#NULL!,8,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
200,#NULL!,2,#NULL!,5,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
201,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
202,#NULL!,5.5,#NULL!,5,#NULL!,7,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
203,#NULL!,2,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
204,#NULL!,1,#NULL!,5,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
205,#NULL!,1,#NULL!,8,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
206,#NULL!,6,#NULL!,6,#NULL!,4.5,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
207,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
208,#NULL!,1.5,#NULL!,8,#NULL!,1.5,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
209,#NULL!,2,#NULL!,7,#NULL!,3,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
210,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
211,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
212,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
213,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
214,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
215,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
216,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
217,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
218,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
219,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
220,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
221,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
222,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
223,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
224,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
225,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
226,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
227,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
228,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
229,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
230,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
231,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
232,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
233,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
234,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
235,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
236,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
237,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
238,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
239,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
240,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
241,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
242,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
243,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
244,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
245,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
246,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
247,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
248,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
249,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,Optimal/Expert
250,2.5,2.5,6,5,1,2,2.5,5.5,1.5,1,2,Optimal/Non-Expert
251,2,1.5,8,7,2,1.5,1.75,7.5,1.75,1,2,Optimal/Non-Expert
252,1,1,4,5,1,1,1,4.5,1,1,2,Optimal/Non-Expert
253,1,1,5,9,1,1,1,7,1,1,2,Optimal/Non-Expert
254,1,1.5,9,8,1,1,1.25,8.5,1,1,2,Optimal/Non-Expert
255,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
256,1,1,8,8,1,1,1,8,1,1,2,Optimal/Non-Expert
257,3,4.5,7,7,1.5,2.5,3.75,7,2,1,2,Optimal/Non-Expert
258,1,1,5,5,1,1,1,5,1,1,2,Optimal/Non-Expert
259,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
260,2,3,5,7,1.5,1.5,2.5,6,1.5,1,2,Optimal/Non-Expert
261,4,2,8,8,1,1,3,8,1,1,2,Optimal/Non-Expert
262,1,2,9,8,1,1,1.5,8.5,1,1,2,Optimal/Non-Expert
263,1,1,5,5,1,1,1,5,1,1,2,Optimal/Non-Expert
264,8,1,5,9,1,1,4.5,7,1,1,2,Optimal/Non-Expert
265,1,1,8,8,1,2,1,8,1.5,1,2,Optimal/Non-Expert
266,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
267,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
268,2,2.5,9,9,1,1.5,2.25,9,1.25,1,2,Optimal/Non-Expert
269,1,1,6,2,1,1,1,4,1,1,2,Optimal/Non-Expert
270,1,1,1,9,1,1,1,5,1,1,2,Optimal/Non-Expert
271,5.5,3,5,7,6,1.5,4.25,6,3.75,1,2,Optimal/Non-Expert
272,1,1.5,8,8,1.5,1.5,1.25,8,1.5,1,2,Optimal/Non-Expert
273,3,1.5,4,5,1,1,2.25,4.5,1,1,2,Optimal/Non-Expert
274,1,2,9,9,1,1,1.5,9,1,1,2,Optimal/Non-Expert
275,1,1.5,9,9,1,1,1.25,9,1,1,2,Optimal/Non-Expert
276,5,5.5,5,5,5.5,5,5.25,5,5.25,1,2,Optimal/Non-Expert
277,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
278,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
279,2.5,2.5,7,6,2,2.5,2.5,6.5,2.25,1,2,Optimal/Non-Expert
280,8,3.5,9,9,2,3,5.75,9,2.5,1,2,Optimal/Non-Expert
281,3.5,1,6,7,2.5,1,2.25,6.5,1.75,1,2,Optimal/Non-Expert
282,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
283,7,7,6,7,7.5,6.5,7,6.5,7,1,2,Optimal/Non-Expert
284,1,2.5,8,9,1,2.5,1.75,8.5,1.75,1,2,Optimal/Non-Expert
285,3.5,1.5,4,6,5.5,3,2.5,5,4.25,1,2,Optimal/Non-Expert
286,1,1.5,5,5,1,1,1.25,5,1,1,2,Optimal/Non-Expert
287,3.5,3.5,9,9,1,1,3.5,9,1,1,2,Optimal/Non-Expert
288,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
289,1.5,2.5,8,7,1,1,2,7.5,1,1,2,Optimal/Non-Expert
290,3,1,9,9,1,1,2,9,1,1,2,Optimal/Non-Expert
291,2.5,2,8,8,1,1,2.25,8,1,1,2,Optimal/Non-Expert
292,2,2,4,3,2,2,2,3.5,2,1,2,Optimal/Non-Expert
293,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
294,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
295,4,2,7,8,1,1,3,7.5,1,1,2,Optimal/Non-Expert
296,1,1,9,8,1,1,1,8.5,1,1,2,Optimal/Non-Expert
297,3,3,7,7,1,1.5,3,7,1.25,1,2,Optimal/Non-Expert
298,1,1,6,7,1,1,1,6.5,1,1,2,Optimal/Non-Expert
299,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
300,1.5,2,6,8,1,1,1.75,7,1,1,2,Optimal/Non-Expert
301,2.5,3,6,5,4,4,2.75,5.5,4,1,2,Optimal/Non-Expert
302,1,1,6,7,1,1,1,6.5,1,1,2,Optimal/Non-Expert
303,2,4,7,6,2,3,3,6.5,2.5,1,2,Optimal/Non-Expert
304,1.5,2,7,7,1,2,1.75,7,1.5,1,2,Optimal/Non-Expert
305,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
306,1,5,3,3,1,7,3,3,4,1,2,Optimal/Non-Expert
307,1,1,7,8,1,1,1,7.5,1,1,2,Optimal/Non-Expert
308,1,1,8,9,2,1.5,1,8.5,1.75,1,2,Optimal/Non-Expert
309,1,3,9,9,1,2,2,9,1.5,1,2,Optimal/Non-Expert
310,1.5,3,9,9,1,1,2.25,9,1,1,2,Optimal/Non-Expert
