SubjectNo,Isl_pk1,Isl_pk2,isl_exp,isl_bl1,isl_bl2,isl_check1,isl_check2,ship_pk1,ship_pk2,ship_exp,ship_bl1,ship_bl2,ship_check1,ship_check2,isl_expert,ship_expert,age,gender,ethnicity,political,choice,choice_d,choice_m,expert,expert_d,expert_m,order_first,fir_pk1,fir_pk2,fir_exp,fir_bl1,fir_bl2,isl_pkc,ship_pkc,fir_pkc,isl_blc,ship_blc,fir_blc,both_blc,both_pkc,both_exp,both_pk1,both_pk2,both_bl1,both_bl2
603.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,9,9,24,1,7,0,2,0.00,-0.50,1,1.00,0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
604.00,1,1,5,1,1,1,2,1,1,7,1,1,1,2,9,9,29,1,2,1,2,0.00,-0.50,1,1.00,0.50,2,1,1,7,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,6.00,1.00,1.00,1.00,1.00
605.00,1,1,5,1,1,1,2,8,8,5,5,2,1,2,9,9,21,2,1,1,2,0.00,-0.50,1,1.00,0.50,2,8,8,5,5,2,1.00,8.00,8.00,1.00,3.50,3.50,2.25,4.50,5.00,4.50,4.50,3.00,1.50
606.00,1,1,5,1,1,1,2,1,1,9,1,1,1,2,9,9,32,2,2,0,2,0.00,-0.50,1,1.00,0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,7.00,1.00,1.00,1.00,1.00
607.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,2,2,31,1,2,2,2,0.00,-0.50,2,0.00,-0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
608.00,5,5,5,1,1,1,2,5,8,1,5,5,1,2,1,1,32,1,2,2,2,0.00,-0.50,2,0.00,-0.50,2,5,8,1,5,5,5.00,6.50,6.50,1.00,5.00,5.00,3.00,5.75,3.00,5.00,6.50,3.00,3.00
609.00,2,1,9,1,2,1,2,7,1,9,1,1,1,2,8,9,20,1,2,1,2,0.00,-0.50,1,1.00,0.50,1,2,1,9,1,2,1.50,4.00,1.50,1.50,1.00,1.50,1.25,2.75,9.00,4.50,1.00,1.00,1.50
610.00,3,2,8,1,1,1,2,2,3,8,2,2,1,2,1,1,40,2,5,0,2,0.00,-0.50,2,0.00,-0.50,1,3,2,8,1,1,2.50,2.50,2.50,1.00,2.00,1.00,1.50,2.50,8.00,2.50,2.50,1.50,1.50
611.00,1,2,7,2,2,1,2,2,1,8,2,2,1,2,3,3,32,1,2,5,2,0.00,-0.50,2,0.00,-0.50,1,1,2,7,2,2,1.50,1.50,1.50,2.00,2.00,2.00,2.00,1.50,7.50,1.50,1.50,2.00,2.00
612.00,2,2,6,1,1,1,2,2,3,6,1,1,1,2,1,1,23,2,5,0,2,0.00,-0.50,2,0.00,-0.50,2,2,3,6,1,1,2.00,2.50,2.50,1.00,1.00,1.00,1.00,2.25,6.00,2.00,2.50,1.00,1.00
613.00,1,2,8,1,1,1,2,3,7,7,3,3,1,2,1,1,32,1,2,5,2,0.00,-0.50,2,0.00,-0.50,1,1,2,8,1,1,1.50,5.00,1.50,1.00,3.00,1.00,2.00,3.25,7.50,2.00,4.50,2.00,2.00
614.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,9,9,37,2,2,2,2,0.00,-0.50,1,1.00,0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
615.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,1,1,33,1,5,5,2,0.00,-0.50,2,0.00,-0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
616.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,1,1,37,2,2,2,2,0.00,-0.50,2,0.00,-0.50,1,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
617.00,2,2,9,2,2,1,2,1,2,9,2,1,1,2,1,1,19,1,5,1,2,0.00,-0.50,2,0.00,-0.50,2,1,2,9,2,1,2.00,1.50,1.50,2.00,1.50,1.50,1.75,1.75,9.00,1.50,2.00,2.00,1.50
618.00,2,3,8,2,3,1,2,2,2,8,2,3,1,2,8,8,28,1,5,5,2,0.00,-0.50,1,1.00,0.50,1,2,3,8,2,3,2.50,2.00,2.50,2.50,2.50,2.50,2.50,2.25,8.00,2.00,2.50,2.00,3.00
619.00,5,5,5,7,6,1,2,4,6,8,5,6,1,2,8,8,54,1,1,4,2,0.00,-0.50,1,1.00,0.50,2,4,6,8,5,6,5.00,5.00,5.00,6.50,5.50,5.50,6.00,5.00,6.50,4.50,5.50,6.00,6.00
620.00,1,2,9,1,1,1,2,1,4,8,2,4,1,2,2,1,24,2,2,3,2,0.00,-0.50,2,0.00,-0.50,2,1,4,8,2,4,1.50,2.50,2.50,1.00,3.00,3.00,2.00,2.00,8.50,1.00,3.00,1.50,2.50
621.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,1,2,38,1,2,1,2,0.00,-0.50,2,0.00,-0.50,1,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
622.00,1,1,8,1,1,1,2,1,1,7,2,1,1,2,1,1,57,1,2,4,2,0.00,-0.50,2,0.00,-0.50,1,1,1,8,1,1,1.00,1.00,1.00,1.00,1.50,1.00,1.25,1.00,7.50,1.00,1.00,1.50,1.00
623.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,1,1,33,1,5,0,2,0.00,-0.50,2,0.00,-0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
624.00,3,4,7,4,4,1,2,2,1,8,4,2,1,2,1,2,20,1,2,5,2,0.00,-0.50,2,0.00,-0.50,2,2,1,8,4,2,3.50,1.50,1.50,4.00,3.00,3.00,3.50,2.50,7.50,2.50,2.50,4.00,3.00
625.00,4,2,8,3,2,1,2,1,2,6,1,1,1,2,8,9,45,1,2,6,2,0.00,-0.50,1,1.00,0.50,1,4,2,8,3,2,3.00,1.50,3.00,2.50,1.00,2.50,1.75,2.25,7.00,2.50,2.00,2.00,1.50
626.00,6,5,3,7,4,1,2,4,5,3,3,6,1,2,4,5,24,2,2,0,2,0.00,-0.50,1,1.00,0.50,1,6,5,3,7,4,5.50,4.50,5.50,5.50,4.50,5.50,5.00,5.00,3.00,5.00,5.00,5.00,5.00
627.00,2,2,5,1,2,1,2,2,5,5,2,2,1,2,1,2,35,2,2,3,2,0.00,-0.50,2,0.00,-0.50,2,2,5,5,2,2,2.00,3.50,3.50,1.50,2.00,2.00,1.75,2.75,5.00,2.00,3.50,1.50,2.00
628.00,3,3,8,2,1,1,2,3,1,8,2,1,1,2,9,9,49,2,2,8,2,0.00,-0.50,1,1.00,0.50,1,3,3,8,2,1,3.00,2.00,3.00,1.50,1.50,1.50,1.50,2.50,8.00,3.00,2.00,2.00,1.00
629.00,3,2,5,3,3,1,2,4,2,4,4,5,1,2,3,2,45,1,2,6,2,0.00,-0.50,1,1.00,0.50,2,4,2,4,4,5,2.50,3.00,3.00,3.00,4.50,4.50,3.75,2.75,4.50,3.50,2.00,3.50,4.00
630.00,2,4,9,1,1,1,2,1,2,9,1,1,1,2,1,1,39,1,2,0,2,0.00,-0.50,2,0.00,-0.50,1,2,4,9,1,1,3.00,1.50,3.00,1.00,1.00,1.00,1.00,2.25,9.00,1.50,3.00,1.00,1.00
631.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,9,9,31,2,2,0,2,0.00,-0.50,1,1.00,0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
